StartDate,EndDate,Q3_1,Q3_2,Q4,Q5,Q5_1
2024-12-16 15:24:46,2024-12-16 15:25:50,Agree,Agree,"It was very thorough, and I appreciated the review of the organizational chart/structure.",N/A,10
2025-01-28 17:13:05,2025-01-28 17:16:37,Agree,Agree,I thought it provided a good overview and opportunity for questions. ,Nothing is coming to mind at the moment.,9
2025-01-30 19:07:46,2025-01-30 19:11:33,Agree,Agree,"I really appreciated the thorough and engaging overview of the University’s goals, strategy, and organizational structure. It provided a clear understanding of how the NDR Division fits into the bigger picture, which helped me see where my own role at CBI can make an impact.  I enjoyed the opportunity to meet and connect with different team members—it gave me a sense of the collaborative culture and made me feel welcome from day one. And, of course, receiving some nice NDR swag was a nice touch!",It was a very smooth process for me. Nothing comes to mind.,10
2025-02-17 19:09:35,2025-02-17 19:12:56,Agree,Agree,"I appreciated Nancy's genuineness and love for Notre Dame. It made me excited about the prospects of my future serving the ND community. The information that Nancy laid out was also clear and concise. 

Also, thank you for the virtual tour of the campus and landmarks!",Nothing at this time. It has been great so far. ,10
2025-02-25 09:24:59,2025-02-25 09:31:47,Neither,Tend to agree,"In-person lunch was an opportunity to get to know someone outside my direct team, yet within the division.","Relating the division structure specifically to the new hire's role. Help to understand who in the hierarchy they may be in contact with, receive emails from, even if department updates to watch for.  ",5
2025-03-03 13:44:50,2025-03-03 14:09:45,Agree,Agree,Getting a look into what NDR culture is like.,"Nothing, it was all great information",8
2025-03-04 05:45:17,2025-03-04 05:47:26,Agree,Agree,Nancy was a great presenter and joy to be welcomed by.,Perhaps an interactive online presentation could be viewed in advance of the meeting.,10
2025-03-04 06:19:54,2025-03-04 06:21:05,Agree,Agree,Clear picture of the full NDR group,n/a,10
2025-03-05 08:48:16,2025-03-05 08:57:17,Agree,Agree,Helpful information and a friendly delivery.,"More information targeted to remote employees. Are there alternatives to the benefits/resources and culture items and volunteer opportunities currently included in the presentation, which are in-person, that remote employees can partake in?",9
2025-03-26 08:30:16,2025-03-26 08:31:47,Agree,Agree,"Nancy's conversational, informal approach.",Nothing comes to mind on this.,8
2025-04-02 07:34:09,2025-04-02 07:36:07,Agree,Agree,Nancy is incredibly welcoming and easy to talk to. Her knowledge did not feel like she was repeating facts but truly sharing personal experience with NDR and the culture of ND. ,N/A,10
2025-04-14 13:06:59,2025-04-14 13:13:06,Agree,Agree,"Relevant information about how I support the University, the dept, and the team along with helpful links and to get me started on the right path.",Having Nancy to walk me through information and have someone to ask questions to was very helpful. Nancy made day 1 a great one!,10
2025-05-01 13:11:08,2025-05-01 13:12:00,Agree,Agree,Description of the areas of ND.,n/a,10
2025-05-02 07:30:55,2025-05-02 07:31:42,Agree,Agree,I really appreciated the warm introduction from Nancy and Claudia,N/A,9
2025-06-04 05:55:16,2025-06-04 05:56:40,Agree,Agree,Nancy made me feel so welcome!,Just a few updates to the slides for 2024-2025.,8
2025-06-04 09:33:04,2025-06-04 09:34:08,Agree,Agree,Welcoming and succinct,Share pre-read first to make it even more efficient.,9
2025-06-06 13:39:02,2025-06-06 13:40:57,Agree,Agree,"Providing the slide deck is very helpful!
Thank you.
",n/a,10
2025-07-24 12:39:46,2025-07-24 12:41:56,Agree,Agree,I enjoyed having a sit down lunch/meeting where I felt like I was an actual person and not a number. It really makes me feel welcome here. ,I don't have any suggestions for improvement. Everything has been wonderful. ,10
2025-09-03 21:45:14,2025-09-03 21:50:35,Agree,Agree,"Understanding the research group and who heads up each department. The only thing I would improve is unrelated to this onboarding session, it’s the 122 emails I needed to read on day 1. I’m thinking onboarding is so intense and maybe could be broken into steps over the 30 days. The AALAS learning library is nice however gives way too much information for most people working in research. It’s a full veterinary level course. ",Check in with new employees with all the computer systems and perhaps have a pdf on each system with a summary and link to the page. ,10
2025-12-17 13:14:14,2025-12-17 13:16:49,Agree,Agree,I truly enjoyed the conversation and all the helpful information provided to me during the session. ,N/A,10
2026-01-08 12:17:09,2026-01-08 12:20:01,Agree,Agree,"Nancy - what a perfect introduction to NDR. Welcoming, friendly, and can see her being a fantastic resource going forward.",a few more minutes on the institutes and centers and how those integrate within NDR,10
2026-02-20 06:17:28,2026-02-20 06:20:43,Agree,Agree,I enjoyed the format - being able to converse directly with the presenter and another attendee. ,Perhaps provide training slides at the start of the meeting so attendees can use them to take notes on/add notes to. ,10
2026-02-22 20:20:10,2026-02-22 20:23:59,Tend to agree,Agree,"Nancy was warm, friendly, and so helpful in answering any questions that I had. Her presentation was informative and really gave a thorough overview of the division and what to expect.",I can't think of anything at this time.,10
