ResponseID,College,Rank,AppointmentType,YearsAtInstitution,Discipline,Gender,Race,Q8_OverallSatisfaction,Q9_LikelihoodToRecommend,Q10_ConsideredLeaving,Q11_Workload,Q11_Compensation,Q11_ResearchSupport,Q11_TeachingSupport,Q11_DeptClimate,Q11_TenurePromotion,Q11_LimitedAdvancement,Q11_Geographic,Q11_BetterOpportunity,Q11_LackRecognition,Q12_WorkloadManageable,Q13_WorkLifeBalance,Q14_WeeklyHours,Q15_ServiceLoad,Q16_TeachingResources,Q17_Facilities,Q18_ResearchFunding,Q19_ProfDevelopment,Q20_Mentorship,Q21_Collaboration,Q22_Compensation,Q23_TenureClarity,Q24_TenureFairness,Q25_HiringEffectiveness,Q26_PsychologicalSafety,Q27_Belonging,Q28_Inclusivity,Timestamp,Q29_ImprovementSuggestion,Q30_AdditionalComments
R0049,Engineering,Teaching Professor,Adjunct/Part-time,11-15 years,Professional fields,Man,White,5,4,1,0,0,0,0,0,0,0,0,0,0,5,5,70+ hours,4,3,4,3,5,3,4,4,,,3,4,4,4,2025-11-01 07:00:00,Great collegial atmosphere,Too much administrative burden
R0050,Arts & Letters,Instructor/Lecturer,Adjunct/Part-time,16-20 years,STEM,Man,White,4,4,1,0,0,0,0,0,0,0,0,0,0,2,2,40-49 hours,4,3,2,4,4,3,2,5,,,4,3,3,3,2025-11-05 10:00:00,Need more teaching assistants,Excellent research support and facilities
R0051,Global Affairs,Associate Professor,Adjunct/Part-time,11-15 years,STEM,Prefer not to say,Asian,4,4,1,0,0,0,0,0,0,0,0,0,0,2,2,50-59 hours,2,4,4,3,3,3,4,2,,,4,5,3,3,2025-10-16 07:00:00,,Great collegial atmosphere
R0052,Business,Assistant Professor,Tenured,More than 20 years,STEM,Man,Asian,5,5,2,0,0,0,0,0,0,0,0,0,0,4,3,70+ hours,4,5,5,2,5,4,5,3,2.0,5.0,3,3,2,2,2025-10-16 10:00:00,Promotion criteria should be clearer,
R0053,Law,Professor,Non-tenure track,0-2 years,STEM,Woman,White,4,4,2,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,1,3,4,2,4,2,3,2,3.0,2.7,4,3,4,4,2025-10-27 08:00:00,,
R0054,Law,Research Professor,Non-tenure track,0-2 years,STEM,Woman,White,3,3,4,0,1,0,0,0,0,1,0,0,0,3,2,50-59 hours,1,2,3,3,4,2,2,4,3.0,2.7,4,2,1,2,2025-10-17 06:00:00,,
R0055,Engineering,Assistant Professor,Tenured,0-2 years,Business,Man,Black or African American,2,1,3,0,0,0,0,0,0,0,0,0,0,3,4,40-49 hours,1,4,4,2,3,2,3,3,3.0,4.0,4,1,3,2,2025-11-02 22:00:00,,Too much administrative burden
R0056,Law,Associate Professor,Non-tenure track,11-15 years,STEM,Man,White,5,5,1,0,0,0,0,0,0,0,0,0,0,2,2,40-49 hours,2,5,5,2,2,4,3,2,2.0,3.0,1,4,4,4,2025-10-25 06:00:00,,
R0057,Arts & Letters,Assistant Professor,Tenure-track,16-20 years,STEM,Man,Asian,3,3,3,0,0,0,0,0,0,0,0,0,0,4,4,50-59 hours,3,4,4,5,5,3,4,4,5.0,4.0,5,3,3,3,2025-11-04 15:00:00,Promotion criteria should be clearer,Need more teaching assistants
R0058,Arts & Letters,Assistant Professor,Tenured,3-5 years,Arts & Performance,Woman,Multiple/Other,2,2,4,1,0,0,0,0,0,0,0,1,0,2,1,70+ hours,1,2,3,2,3,2,1,2,4.0,0.7,3,2,2,2,2025-10-27 20:00:00,Need better work-life balance policies,
R0059,Arts & Letters,Associate Professor,Tenure-track,More than 20 years,Social Sciences,Man,White,2,2,3,0,0,0,0,0,0,0,0,0,0,2,1,50-59 hours,4,4,3,3,3,3,3,2,3.0,4.0,5,1,4,4,2025-10-29 04:00:00,Promotion criteria should be clearer,Great collegial atmosphere
R0060,Science,Professor,Tenure-track,0-2 years,Arts & Performance,Man,White,4,4,3,0,0,0,0,0,0,0,0,0,0,3,2,60-69 hours,2,4,3,2,4,3,2,2,2.5,2.4,4,3,4,4,2025-10-23 04:00:00,Need better work-life balance policies,Too much administrative burden
R0061,Science,Assistant Professor,Tenure-track,More than 20 years,STEM,Man,Asian,3,3,4,0,0,0,1,1,0,0,0,0,0,2,2,70+ hours,1,2,3,2,5,3,3,5,2.5,3.4,5,3,3,3,2025-10-22 23:00:00,,
R0062,Science,Assistant Professor,Non-tenure track,3-5 years,Social Sciences,Man,Asian,4,4,2,0,0,0,0,0,0,0,0,0,0,3,4,50-59 hours,4,4,4,3,3,1,3,3,1.5,3.4,4,2,3,3,2025-11-01 17:00:00,Need more teaching assistants,Need better work-life balance policies
R0063,Architecture,Instructor/Lecturer,Tenured,0-2 years,STEM,Woman,White,1,1,5,1,0,0,0,0,0,1,0,1,0,1,1,50-59 hours,1,2,1,3,4,1,3,2,2.5,0.3,4,1,1,1,2025-10-23 23:00:00,Need better work-life balance policies,
R0064,Science,Assistant Professor,Non-tenure track,6-10 years,STEM,Prefer not to say,Multiple/Other,4,5,2,0,0,0,0,0,0,0,0,0,0,4,3,60-69 hours,2,4,3,1,3,2,3,2,1.5,1.4,4,2,3,3,2025-11-02 13:00:00,,Great collegial atmosphere
R0065,Science,Teaching Professor,Tenure-track,3-5 years,Business,Man,White,3,2,2,0,0,0,0,0,0,0,0,0,0,4,4,60-69 hours,3,3,3,1,3,3,2,3,4.5,4.4,3,3,2,3,2025-11-02 12:00:00,Department climate needs improvement,
R0066,Engineering,Assistant Professor,Tenured,3-5 years,STEM,Woman,White,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,70+ hours,2,3,2,5,3,4,4,4,5.0,2.7,2,1,4,4,2025-10-26 07:00:00,Need more teaching assistants,
R0067,Arts & Letters,Assistant Professor,Tenured,3-5 years,Humanities,Woman,Asian,4,4,1,0,0,0,0,0,0,0,0,0,0,3,2,40-49 hours,3,4,5,2,5,1,3,2,4.0,2.7,3,2,3,4,2025-10-19 16:00:00,,
R0068,Architecture,Teaching Professor,Non-tenure track,16-20 years,Social Sciences,Man,Black or African American,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,1,1,1,4,2,2,2,2,3.5,1.6,3,2,1,1,2025-10-30 02:00:00,Very satisfied overall,
R0069,Arts & Letters,Associate Professor,Tenured,6-10 years,Social Sciences,Woman,White,4,4,2,0,0,0,0,0,0,0,0,0,0,3,2,60-69 hours,1,3,3,1,4,1,5,4,2.0,1.7,3,2,2,1,2025-10-16 03:00:00,Excellent research support and facilities,Need better work-life balance policies
R0070,Global Affairs,Professor,Non-tenure track,3-5 years,Business,Man,Asian,4,5,3,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,5,2,2,4,3,3,4,3,3.0,5.0,2,4,2,2,2025-10-19 20:00:00,Need better work-life balance policies,
R0071,Business,Professor,Non-tenure track,11-15 years,STEM,Man,White,4,5,3,0,0,0,0,0,0,0,0,0,0,4,4,50-59 hours,3,4,4,5,3,3,3,2,4.0,3.0,2,5,5,5,2025-10-20 21:00:00,Salary not competitive with peer institutions,
R0072,Arts & Letters,Instructor/Lecturer,Non-tenure track,11-15 years,Humanities,Woman,White,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,2,3,4,2,4,1,4,1,2.0,1.7,2,3,2,2,2025-10-28 19:00:00,,Great collegial atmosphere
R0073,Arts & Letters,Assistant Professor,Tenure-track,3-5 years,Professional fields,Man,White,3,3,3,0,0,0,0,0,0,0,0,0,0,4,4,70+ hours,4,5,5,3,3,1,5,1,4.0,3.0,4,5,5,5,2025-10-17 12:00:00,Salary not competitive with peer institutions,
R0074,Architecture,Assistant Professor,Tenure-track,6-10 years,Humanities,Woman,Black or African American,2,2,4,0,0,1,1,1,0,0,0,0,1,1,1,50-59 hours,1,1,1,1,2,2,2,3,4.5,0.3,3,1,1,2,2025-10-27 19:00:00,Salary not competitive with peer institutions,Very satisfied overall
R0075,Business,Associate Professor,Non-tenure track,0-2 years,Business,Woman,White,2,2,4,0,1,0,1,1,0,0,0,0,1,2,2,50-59 hours,2,2,2,2,4,3,3,4,4.0,1.7,4,1,2,2,2025-10-29 16:00:00,Excellent research support and facilities,
R0076,Business,Professor,Tenure-track,0-2 years,STEM,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,2,2,40-49 hours,5,5,5,3,5,2,3,2,5.0,2.0,4,4,4,4,2025-10-23 17:00:00,Department climate needs improvement,Great collegial atmosphere
R0077,Business,Professor,Non-tenure track,11-15 years,Social Sciences,Woman,White,3,3,2,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,1,4,4,3,4,1,3,3,3.0,3.7,3,3,3,3,2025-10-15 21:00:00,Department climate needs improvement,
R0078,Arts & Letters,Associate Professor,Tenured,0-2 years,STEM,Man,Black or African American,3,2,3,0,0,0,0,0,0,0,0,0,0,2,3,50-59 hours,1,3,3,2,2,3,3,2,4.0,2.0,1,2,1,1,2025-10-18 21:00:00,Need more teaching assistants,Very satisfied overall
R0079,Science,Assistant Professor,Adjunct/Part-time,6-10 years,Humanities,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,1,1,70+ hours,3,3,3,3,3,2,3,4,,,3,5,4,4,2025-11-01 08:00:00,More mentorship needed for junior faculty,
R0080,Arts & Letters,Associate Professor,Non-tenure track,11-15 years,Professional fields,Woman,Asian,3,3,4,1,1,0,0,0,0,0,0,0,1,2,1,50-59 hours,3,3,4,3,3,1,3,1,2.0,3.7,3,2,1,1,2025-11-04 10:00:00,Excellent research support and facilities,
R0081,Law,Associate Professor,Adjunct/Part-time,0-2 years,STEM,Woman,White,3,4,3,0,0,0,0,0,0,0,0,0,0,3,2,60-69 hours,1,3,1,3,3,2,4,3,,,2,2,3,4,2025-10-18 09:00:00,Very satisfied overall,
R0082,Engineering,Teaching Professor,Tenured,6-10 years,Humanities,Man,White,4,5,2,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,2,3,4,4,3,3,4,3,5.0,5.0,4,3,4,4,2025-10-28 05:00:00,Excellent research support and facilities,
R0083,Science,Associate Professor,Non-tenure track,3-5 years,STEM,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,2,2,50-59 hours,2,5,5,2,4,3,2,4,3.5,3.4,4,5,2,1,2025-10-29 00:00:00,Department climate needs improvement,Need better work-life balance policies
R0084,Arts & Letters,Assistant Professor,Tenured,More than 20 years,Humanities,Woman,Black or African American,3,3,4,0,1,1,0,0,0,0,0,0,1,1,1,60-69 hours,1,3,3,1,3,1,2,1,3.0,1.7,3,1,1,1,2025-10-23 16:00:00,Too much administrative burden,Need more teaching assistants
R0085,Science,Instructor/Lecturer,Tenured,6-10 years,Social Sciences,Woman,Hispanic or Latino/a/x,2,2,4,1,0,0,0,1,0,0,0,0,0,3,2,60-69 hours,1,1,2,1,1,2,2,1,3.5,1.0999999999999999,2,1,1,1,2025-10-20 16:00:00,Promotion criteria should be clearer,Promotion criteria should be clearer
R0086,Science,Associate Professor,Non-tenure track,16-20 years,Professional fields,Woman,White,3,4,2,0,0,0,0,0,0,0,0,0,0,4,4,70+ hours,2,3,4,2,2,3,3,2,1.5,0.10000000000000003,1,1,1,2,2025-10-18 20:00:00,,
R0087,Business,Assistant Professor,Non-tenure track,6-10 years,Humanities,Man,White,3,4,2,0,0,0,0,0,0,0,0,0,0,4,4,60-69 hours,2,3,4,1,3,2,5,1,3.0,3.0,3,3,5,4,2025-10-24 20:00:00,,Need more teaching assistants
R0088,Business,Teaching Professor,Adjunct/Part-time,0-2 years,Social Sciences,Man,White,3,3,2,0,0,0,0,0,0,0,0,0,0,4,5,60-69 hours,1,3,4,3,3,2,2,3,,,3,3,4,4,2025-10-31 19:00:00,Very satisfied overall,
R0089,Law,Teaching Professor,Non-tenure track,11-15 years,STEM,Man,White,2,2,5,0,0,1,1,0,0,0,0,0,0,4,4,50-59 hours,3,3,4,3,5,3,3,5,4.0,3.0,5,3,4,3,2025-10-21 04:00:00,,Need more teaching assistants
R0090,Engineering,Professor,Tenured,More than 20 years,STEM,Woman,White,3,3,4,1,1,0,0,0,0,0,0,0,0,1,1,70+ hours,3,4,4,5,4,4,5,2,3.0,3.7,3,1,4,4,2025-10-26 05:00:00,Excellent research support and facilities,
R0091,Arts & Letters,Teaching Professor,Tenured,11-15 years,STEM,Man,White,2,1,4,0,1,0,0,1,0,0,0,0,1,2,2,50-59 hours,1,5,5,1,3,3,3,2,4.0,5.0,4,3,3,4,2025-11-01 16:00:00,Need more teaching assistants,
R0092,Business,Assistant Professor,Non-tenure track,16-20 years,STEM,Man,White,3,4,3,0,0,0,0,0,0,0,0,0,0,3,4,70+ hours,4,4,4,3,4,3,4,3,2.0,4.0,4,5,2,2,2025-10-15 19:00:00,Promotion criteria should be clearer,
R0093,Business,Associate Professor,Tenure-track,16-20 years,Business,Woman,White,3,4,3,0,0,0,0,0,0,0,0,0,0,4,3,50-59 hours,3,3,4,5,3,2,3,3,4.0,0.7,3,3,2,1,2025-10-25 15:00:00,Too much administrative burden,
R0094,Engineering,Assistant Professor,Tenure-track,3-5 years,Humanities,Man,White,5,5,2,0,0,0,0,0,0,0,0,0,0,3,3,70+ hours,5,4,4,3,4,2,4,4,4.0,4.0,5,5,4,4,2025-10-15 03:00:00,Great collegial atmosphere,Salary not competitive with peer institutions
R0095,Business,Research Professor,Tenured,3-5 years,Humanities,Prefer not to say,Asian,3,2,5,1,1,0,0,0,0,0,0,1,1,3,3,60-69 hours,4,4,4,3,4,3,3,2,3.0,4.0,3,5,2,2,2025-10-26 09:00:00,More mentorship needed for junior faculty,Great collegial atmosphere
